affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
nasa ames research center - kbr  inc,,nasa ames research center - kbr  inc,,,suggested,,"[('nasa glenn research center', 0.7096774193548387), ('ibm almaden research center', 0.6349206349206349)]"
nasa marshall space flight center,,nasa marshall space flight center,,,unmapped,,[]
national academies,,national academies,,,suggested,,"[('national lab', 0.6666666666666666), ('national academy of sciences of ukraine', 0.631578947368421), ('sandia national laboratories', 0.6086956521739131)]"
national energy technology lab,,national energy technology lab,,,suggested,,"[('national university of technology', 0.7619047619047619), ('korea institute of energy technology', 0.6666666666666666), ('syntegon technology gmbh', 0.6296296296296297), ('clausthal university of technology', 0.625), ('poznan university of technology', 0.5573770491803278)]"
national energy technology laboratory,,national energy technology laboratory,,,suggested,,"[('national renewable energy laboratory', 0.7123287671232876), ('national chemical laboratory', 0.7076923076923077), ('national university of technology', 0.6857142857142857), ('idaho national laboratory', 0.6129032258064516), ('korea institute of energy technology', 0.6027397260273972)]"
national energy technology laboratory  u s  department of energy,,national energy technology laboratory  u s  department of energy,,,unmapped,,[]
national energy technology laboratory lrst,,national energy technology laboratory lrst,,,suggested,,"[('national renewable energy laboratory', 0.6666666666666666), ('national chemical laboratory', 0.6571428571428571), ('national university of technology', 0.64)]"
national energy technology laboratory netl support contractor,,national energy technology laboratory netl support contractor,,,unmapped,,[]
national energy technology laboratory support contractor,,national energy technology laboratory support contractor,,,unmapped,,[]
national fuel cell research center,,national fuel cell research center,,,suggested,,"[('nasa glenn research center', 0.6333333333333333), ('national research council cnr', 0.6666666666666666), ('ibm almaden research center', 0.6557377049180327)]"
national institute for communicable diseases,,national institute for communicable diseases,,,suggested,,"[('national institute for public health and the environment', 0.64)]"
national institute of advanced industrial science and technology,,national institute of advanced industrial science and technology,,,suggested,,"[('national institute of standards and technology', 0.7636363636363637), ('korea institute of industrial technology', 0.6923076923076923), ('srm institute of science and technology', 0.6990291262135923), ('korean institute science and technology', 0.6601941747572816), ('korea advanced institute of science and technology', 0.6491228070175439)]"
national institute of chemistry,,national institute of chemistry,,,suggested,,"[('national institutes of health', 0.8333333333333334), ('national institute of standards and technology', 0.6493506493506493), ('technion israel institute of technology', 0.6571428571428571), ('kth royal institute of technology', 0.65625), ('harbin institute of technology', 0.5901639344262295)]"
national institute of safety and health at work,,national institute of safety and health at work,,,suggested,,"[('national institutes of health', 0.7368421052631579), ('national institute of standards and technology', 0.6881720430107527), ('national institute for public health and the environment', 0.6407766990291263)]"
national institute of standards and technology  brookhaven national laboratory,,national institute of standards and technology  brookhaven national laboratory,,,suggested,,"[('national institute of standards and technology', 0.7419354838709677)]"
national institute of standards and technology center for neutron research,,national institute of standards and technology center for neutron research,,,suggested,,"[('national institute of standards and technology', 0.7666666666666667)]"
national institute of technology  numazu college,,national institute of technology  numazu college,,,suggested,,"[('indian institute of technology roorkee', 0.7209302325581395), ('visvesvaraya national institute of technology nagpur', 0.7), ('indian institute of technology jammu', 0.6904761904761905), ('harbin institute of technology', 0.6410256410256411), ('kth royal institute of technology', 0.691358024691358)]"
national laboratory astana  nazarbayev university,,national laboratory astana  nazarbayev university,,,suggested,,"[('national taiwan university', 0.6133333333333333)]"
national tsing hua university,,national tsing hua university,,,suggested,,"[('national cheng kung university', 0.8135593220338984), ('national taiwan university', 0.8363636363636363), ('tsinghua university', 0.7916666666666666), ('national yang ming chiao tung university', 0.7536231884057971), ('arizona state university', 0.7169811320754716)]"
national university of colombia or purdue university,,national university of colombia or purdue university,,,suggested,,"[('national university of technology', 0.6588235294117647), ('university of colorado denver', 0.6419753086419753)]"
national university of science and technology politehnica,,national university of science and technology politehnica,,,suggested,,"[('university of science and technology of china', 0.803921568627451), ('pohang university of science and technology', 0.76), ('norwegian university of science and technology', 0.7766990291262136), ('university of science and technology', 0.7741935483870968), ('hebei university of science and technology', 0.7676767676767676)]"
natural resources canada  canmetenergy,,natural resources canada  canmetenergy,,,suggested,,"[('natural resources canada', 0.7741935483870968)]"
naval research laboratory,,naval research laboratory,,,suggested,,"[('national renewable energy laboratory', 0.6885245901639344), ('national chemical laboratory', 0.6792452830188679), ('army research lab', 0.6666666666666666), ('nasa glenn research center', 0.5882352941176471), ('savannah river national laboratory', 0.6101694915254238)]"
naval research labratory,,naval research labratory,,,suggested,,"[('army research lab', 0.6829268292682927), ('national renewable energy laboratory', 0.6666666666666666), ('national chemical laboratory', 0.6538461538461539), ('nasa glenn research center', 0.6), ('national research council cnr', 0.6037735849056604)]"
nc state,,nc state,,,unmapped,,[]
ncsu,,ncsu,,,unmapped,,[]
ndiana university bloomington,,ndiana university bloomington,,,suggested,,"[('indiana university', 0.723404255319149), ('university of wyoming', 0.68), ('university of washington', 0.6792452830188679), ('brunel university london', 0.6792452830188679), ('university of oregon', 0.6530612244897959)]"
nemours alfred i  dupont hospital for children,,nemours alfred i  dupont hospital for children,,,unmapped,,[]
nestlé product technology centre,,nestlé product technology centre,,,suggested,,"[('shell technology center', 0.6909090909090909)]"
nestlé research,,nestlé research,,,suggested,,"[('chevron research', 0.6451612903225806), ('ibm research uk', 0.6)]"
netherlands organisation for applied scientific research  tno,,netherlands organisation for applied scientific research  tno,,,unmapped,,[]
netl support contractor,,netl support contractor,,,unmapped,,[]
new jersey center for microchemical systems  stevens institute of technology,,new jersey center for microchemical systems  stevens institute of technology,,,suggested,,"[('new jersey institute of technology', 0.6181818181818182)]"
new mexico institute of mining and technology,,new mexico institute of mining and technology,,,suggested,,"[('srm institute of science and technology', 0.7619047619047619), ('new jersey institute of technology', 0.7341772151898734), ('national institute of standards and technology', 0.7252747252747253), ('korea institute of energy technology', 0.691358024691358), ('korean institute science and technology', 0.6904761904761905)]"
new york university,,new york university,,,suggested,,"[('baylor university', 0.7777777777777778), ('widener university', 0.7567567567567568), ('andrews university', 0.7567567567567568), ('trine university', 0.7428571428571429), ('nihon university', 0.7428571428571429)]"
new york university  tandon school of engineering,,new york university  tandon school of engineering,,,suggested,,"[('washington university school of medicine', 0.6292134831460674)]"
new york university langone health,,new york university langone health,,,suggested,,"[('the university of utah', 0.5357142857142857)]"
new york university tandon school of engineering,,new york university tandon school of engineering,,,suggested,,"[('washington university school of medicine', 0.6363636363636364)]"
newcastle university,,newcastle university,,,suggested,,"[('mcmaster university', 0.8205128205128205), ('western university', 0.7894736842105263), ('andrews university', 0.7894736842105263), ('texas tech university', 0.7804878048780488), ('iowa state university', 0.7804878048780488)]"
nexceris,,nexceris,,,unmapped,,[]
nexight group,,nexight group,,,suggested,,"[('inga group', 0.6956521739130435)]"
ningbo tech university,,ningbo tech university,,,suggested,,"[('tennessee tech university', 0.7659574468085106), ('groningen university', 0.7619047619047619), ('inha university', 0.7567567567567568), ('texas tech university', 0.7441860465116279), ('iowa state university', 0.7441860465116279)]"
nist center for neutron research  national institute of standards and technology,,nist center for neutron research  national institute of standards and technology,,,suggested,,"[('national institute of standards and technology', 0.7301587301587301)]"
njit,,njit,,,suggested,,"[('unist', 0.6666666666666666)]"
njit dept of chemical and materials engineering,,njit dept of chemical and materials engineering,,,unmapped,,[]
nl chemical technology  inc,,nl chemical technology  inc,,,suggested,,"[('institute of chemical technology mumbai', 0.696969696969697), ('aspen technology inc.', 0.6666666666666666), ('em ai technology', 0.6511627906976745), ('shell technology center', 0.64), ('freeman technology', 0.6222222222222222)]"
noaa pmel,,noaa pmel,,,unmapped,,[]
noritake co  ltd,,noritake co  ltd,,,unmapped,,[]
noritake co limited,,noritake co limited,,,unmapped,,[]
north carolina state university  chemical and biomolecular engineering department,,north carolina state university  chemical and biomolecular engineering department,,,unmapped,,[]
northern arizona university,,northern arizona university,,,suggested,,"[('northumbria university', 0.7755102040816326), ('southern arkansas university', 0.8), ('northwestern university', 0.76), ('north carolina state university', 0.7586206896551724), ('kangwon national university', 0.7407407407407407)]"
norwegian institute for air research,,norwegian institute for air research,,,suggested,,"[('tata institute of fundamental research', 0.6486486486486487), ('georgia institute of technology', 0.6268656716417911), ('korea institute of energy technology', 0.5833333333333334), ('indian institute of science', 0.6349206349206349)]"
not found,,not found,,,unmapped,,[]
nottingham trent university,,nottingham trent university,,,suggested,,"[('ghent university', 0.7441860465116279), ('tsinghua university', 0.7391304347826086), ('groningen university', 0.723404255319149), ('national taiwan university', 0.7169811320754716), ('inha university', 0.7142857142857143)]"
nov chemineer,,nov chemineer,,,unmapped,,[]
novo nordisk,,novo nordisk,,,unmapped,,[]
nrel,,nrel,,,suggested,,"[('netl', 0.75), ('henkel', 0.6)]"
nsf s chemmatcars  university of chicago,,nsf s chemmatcars  university of chicago,,,suggested,,"[('national university of singapore', 0.6111111111111112), ('soka university of america', 0.6060606060606061), ('south china university of technology', 0.6052631578947368), ('the university of akron', 0.6031746031746031), ('national university of technology', 0.6027397260273972)]"
ntnu,,ntnu,,,unmapped,,[]
nyu college of dentistry,,nyu college of dentistry,,,suggested,,"[('famu-fsu college of engineering', 0.6181818181818182)]"
nyu tandon school of engineering,,nyu tandon school of engineering,,,suggested,,"[('famu-fsu college of engineering', 0.6349206349206349)]"
oak ridge associated universities  us environmental protection agency,,oak ridge associated universities  us environmental protection agency,,,suggested,,"[('state university of new york environmental science', 0.6050420168067226)]"
oak ridge institure of science and education,,oak ridge institure of science and education,,,suggested,,"[('srm institute of science and technology', 0.6987951807228916), ('korean institute science and technology', 0.6506024096385542), ('korea advanced institute of science and technology', 0.7021276595744681), ('institute of science tokyo', 0.6285714285714286), ('indian institute of science', 0.5915492957746479)]"
oak ridge national lab - oak ridge  tn,,oak ridge national lab - oak ridge  tn,,,suggested,,"[('oak ridge national laboratory', 0.746268656716418), ('argonne national laboratory', 0.5538461538461539), ('sandia national laboratories', 0.6060606060606061)]"
ocean college zhejiang university,,ocean college zhejiang university,,,suggested,,"[('zhejiang university', 0.7307692307692307), ('xian jiaotong university', 0.6666666666666666), ('chang gung university', 0.6666666666666666), ('shenzhen university', 0.6538461538461539), ('lehigh university', 0.6)]"
oldendorff carriers,,oldendorff carriers,,,unmapped,,[]
oli systems  inc,,oli systems  inc,,,unmapped,,[]
oli systems inc,,oli systems inc,,,unmapped,,[]
orbillion bio  inc,,orbillion bio  inc,,,unmapped,,[]
ore catapult,,ore catapult,,,unmapped,,[]
oregon health and science university,,oregon health and science university,,,suggested,,"[('oregon state university', 0.711864406779661), ('rwth aachen university', 0.6551724137931034), ('montana state university', 0.6333333333333333), ('oakland university', 0.6296296296296297), ('north carolina state university', 0.6268656716417911)]"
origin materials,,origin materials,,,suggested,,"[('iit madras', 0.6153846153846154), ('lubrizol advanced materials', 0.6046511627906976)]"
orion engineered carbons,,orion engineered carbons,,,unmapped,,[]
osaka gas chemicals  co   ltd,,osaka gas chemicals  co   ltd,,,unmapped,,[]
otto von guericke university magdeburg,,otto von guericke university magdeburg,,,suggested,,"[('otto von guericke university', 0.8484848484848485)]"
ourobio,,ourobio,,,unmapped,,[]
oxy low carbon ventures,,oxy low carbon ventures,,,unmapped,,[]
pacific biolab,,pacific biolab,,,unmapped,,[]
pacific northwest national laboratory  richland  wa,,pacific northwest national laboratory  richland  wa,,,suggested,,"[('pacific northwest national laboratory', 0.8409090909090909)]"
padova university,,padova university,,,suggested,,"[('nagoya university', 0.8235294117647058), ('villanova university', 0.8108108108108109), ('uppsala university', 0.8), ('harvard university', 0.8), ('rowan university', 0.7272727272727273)]"
pakistan institute of nuclear science and technology,,pakistan institute of nuclear science and technology,,,suggested,,"[('srm institute of science and technology', 0.8131868131868132), ('korean institute science and technology', 0.7912087912087912), ('korea advanced institute of science and technology', 0.7647058823529411), ('pohang university of science and technology', 0.7157894736842105), ('east china university of science and technology', 0.7070707070707071)]"
pando bioscience,,pando bioscience,,,unmapped,,[]
parthian battery solutions,,parthian battery solutions,,,unmapped,,[]
particles in motion,,particles in motion,,,unmapped,,[]
particulate solid research  inc,,particulate solid research  inc,,,unmapped,,[]
pct ebeam and integration  llc,,pct ebeam and integration  llc,,,unmapped,,[]
pd2m,,pd2m,,,unmapped,,[]
penn state health milton s  hershey medical center,,penn state health milton s  hershey medical center,,,unmapped,,[]
pfizer  inc,,pfizer  inc,,,suggested,,"[('pfizer', 0.7058823529411765), ('pfizer canada', 0.6666666666666666)]"
pfizer global supply,,pfizer global supply,,,unmapped,,[]
pfizer healthcare india pvt ltd,,pfizer healthcare india pvt ltd,,,unmapped,,[]
pfizer inc,,pfizer inc,,,suggested,,"[('pfizer', 0.75), ('pfizer canada', 0.6956521739130435)]"
pfizer worldwide research and development  445 eastern point road  groton  connecticut 06340  usa,,pfizer worldwide research and development  445 eastern point road  groton  connecticut 06340  usa,,,unmapped,,[]
phosphorus wastewater treatment project,,phosphorus wastewater treatment project,,,unmapped,,[]
phytochem product inc,,phytochem product inc,,,unmapped,,[]
pjp tech,,pjp tech,,,unmapped,,[]
planta piloto de ingenieria quimica,,planta piloto de ingenieria quimica,,,unmapped,,[]
planta piloto de ingeniería química  plapiqui   universidad nacional del sur,,planta piloto de ingeniería química  plapiqui   universidad nacional del sur,,,unmapped,,[]
plug power,,plug power,,,unmapped,,[]
plug power inc,,plug power inc,,,unmapped,,[]
pluspetrol,,pluspetrol,,,unmapped,,[]
pnnl,,pnnl,,,unmapped,,[]
polish academy of sciences,,polish academy of sciences,,,suggested,,"[('national academy of sciences of ukraine', 0.676923076923077)]"
polykala technologies llc,,polykala technologies llc,,,unmapped,,[]
polymat and department of applied chemistry  university of the basque country upv ehu,,polymat and department of applied chemistry  university of the basque country upv ehu,,,unmapped,,[]
polymat institute - university of the basque country upv ehu,,polymat institute - university of the basque country upv ehu,,,unmapped,,[]
polytechnic institute of bragança,,polytechnic institute of bragança,,,suggested,,"[('worcester polytechnic institute', 0.65625), ('rensselaer polytechnic institute', 0.6461538461538462), ('caltech institute of technology', 0.625)]"
polytechnic university of puerto rico,,polytechnic university of puerto rico,,,suggested,,"[('technical university of munich', 0.746268656716418), ('technical university of denmark', 0.7058823529411765), ('china university of petroleum', 0.6060606060606061), ('university of puerto rico, mayaguez', 0.6944444444444444), ('university of pretoria', 0.6779661016949152)]"
pontifical catholic university of rio grande do sul,,pontifical catholic university of rio grande do sul,,,suggested,,"[('universidade federal do rio grande do sul', 0.6086956521739131)]"
port sunlight laboratory,,port sunlight laboratory,,,suggested,,"[('oak ridge national laboratory', 0.6037735849056604)]"
porton usa,,porton usa,,,unmapped,,[]
posco holdings,,posco holdings,,,unmapped,,[]
posgrado en ciencias bioquímicas  unam,,posgrado en ciencias bioquímicas  unam,,,unmapped,,[]
postech,,postech,,,suggested,,"[('koreatech', 0.625)]"
power environmental energy research institute,,power environmental energy research institute,,,unmapped,,[]
powercell,,powercell,,,unmapped,,[]
poznań university of medical sciences,,poznań university of medical sciences,,,suggested,,"[('soka university of america', 0.6984126984126984), ('university of maine', 0.5714285714285714), ('poznan university of technology', 0.6764705882352942), ('university of texas medical branch', 0.676056338028169), ('the university of maine', 0.5666666666666667)]"
precision combustion  inc,,precision combustion  inc,,,unmapped,,[]
preferred computational chemistry,,preferred computational chemistry,,,unmapped,,[]
probiomed s a  de c v,,probiomed s a  de c v,,,unmapped,,[]
procegence,,procegence,,,unmapped,,[]
process systems engineering   rwth aachen university,,process systems engineering   rwth aachen university,,,unmapped,,[]
procter and gamble technical centre,,procter and gamble technical centre,,,suggested,,"[('procter and gamble co.', 0.7017543859649122), ('procter and gamble', 0.6792452830188679), ('procter and gamble, mason, oh', 0.625)]"
prony resources new caledonia  usine du grand sud route de kwa neie  prony bp 218,,prony resources new caledonia  usine du grand sud route de kwa neie  prony bp 218,,,unmapped,,[]
pse for speed company ltd,,pse for speed company ltd,,,unmapped,,[]
psri,,psri,,,unmapped,,[]
psu,,psu,,,unmapped,,[]
purdue university institute of cancer research,,purdue university institute of cancer research,,,suggested,,"[('the university of manchester', 0.5675675675675675), ('tata institute of fundamental research', 0.6190476190476191)]"
pvamu,,pvamu,,,unmapped,,[]
qatar environment and energy research institute,,qatar environment and energy research institute,,,unmapped,,[]
qatar environment and energy research institute  hamad bin khalifa university  qatar foundation  p o  box 34110,,qatar environment and energy research institute  hamad bin khalifa university  qatar foundation  p o  box 34110,,,unmapped,,[]
qingyuan innovation laboratory,,qingyuan innovation laboratory,,,suggested,,"[('idaho national laboratory', 0.6545454545454545), ('brookhaven national laboratory', 0.6666666666666666), ('argonne national laboratory', 0.6666666666666666), ('sandia national laboratories', 0.6551724137931034), ('savannah river national laboratory', 0.65625)]"
queenmary university of london,,queenmary university of london,,,suggested,,"[('university of wollongong', 0.7037037037037037), ('the university of toledo', 0.7037037037037037), ('brunel university london', 0.7407407407407407), ('queens university', 0.6808510638297872), ('the university of tokyo', 0.6792452830188679)]"
queensland university of technology,,queensland university of technology,,,suggested,,"[('poznan university of technology', 0.8484848484848485), ('dalian university of technology', 0.8484848484848485), ('national university of technology', 0.7941176470588235), ('graz university of technology', 0.8125), ('eindhoven university of technology', 0.8115942028985508)]"
r e  mason,,r e  mason,,,unmapped,,[]
rajiv gandhi institute of petroleum technology,,rajiv gandhi institute of petroleum technology,,,suggested,,"[('korea institute of energy technology', 0.7073170731707317), ('florida institute of technology', 0.6753246753246753), ('siddaganga institute of technology', 0.7), ('korea institute of industrial technology', 0.6976744186046512), ('izmir institute of technology', 0.6666666666666666)]"
randic netl,,randic netl,,,unmapped,,[]
rapid city christian school,,rapid city christian school,,,unmapped,,[]
rapid manufacturing institute,,rapid manufacturing institute,,,unmapped,,[]
rcpe gmbh,,rcpe gmbh,,,suggested,,"[('evon gmbh', 0.6666666666666666)]"
reaction engineering international,,reaction engineering international,,,unmapped,,[]
recibiopharm,,recibiopharm,,,unmapped,,[]
redoxblox,,redoxblox,,,unmapped,,[]
redoxblox inc,,redoxblox inc,,,unmapped,,[]
reelement technologies llc,,reelement technologies llc,,,suggested,,"[('freeman technology', 0.6818181818181818)]"
remora carbon,,remora carbon,,,unmapped,,[]
renewable and sustainable energy institute  university of colorado,,renewable and sustainable energy institute  university of colorado,,,unmapped,,[]
renewable resources and enabling sciences center  national renewable energy laboratory,,renewable resources and enabling sciences center  national renewable energy laboratory,,,unmapped,,[]
rescale,,rescale,,,unmapped,,[]
research and innovation center on co2 and hydrogen   chemical and petroleum engineering department  khalifa university  abu dhabi  united arab emirates,,research and innovation center on co2 and hydrogen   chemical and petroleum engineering department  khalifa university  abu dhabi  united arab emirates,,,unmapped,,[]
research center for gas innovation,,research center for gas innovation,,,unmapped,,[]
research center pharmaceutical engineering gmbh,,research center pharmaceutical engineering gmbh,,,unmapped,,[]
reservoir engineering research institute,,reservoir engineering research institute,,,unmapped,,[]
retired,,retired,,,unmapped,,[]
rhode island school of design,,rhode island school of design,,,unmapped,,[]
rice,,rice,,,suggested,,"[('riken', 0.6666666666666666), ('aiche', 0.6666666666666666)]"
rite,,rite,,,suggested,,"[('riken', 0.6666666666666666)]"
rkgmixes llc,,rkgmixes llc,,,unmapped,,[]
robert bosch gmbh,,robert bosch gmbh,,,unmapped,,[]
robinson research institute,,robinson research institute,,,suggested,,"[('rensselaer polytechnic institute', 0.6440677966101694), ('nasa glenn research center', 0.6037735849056604)]"
rochester institute of technology,,rochester institute of technology,,,suggested,,"[('caltech institute of technology', 0.8125), ('kyoto institute of technology', 0.8387096774193549), ('chiba institute of technology', 0.8387096774193549), ('harbin institute of technology', 0.7936507936507936), ('karlsruhe institute of technology', 0.8181818181818182)]"
rollins college,,rollins college,,,suggested,,"[('dartmouth college', 0.625)]"
roosense llc,,roosense llc,,,unmapped,,[]
rose-hulman institute of technology,,rose-hulman institute of technology,,,suggested,,"[('harbin institute of technology', 0.8), ('chiba institute of technology', 0.8125), ('kth royal institute of technology', 0.7941176470588235), ('vellore institute of technology', 0.7878787878787878), ('georgia institute of technology', 0.7878787878787878)]"
rowan-virtua school of translational biomedical engineering and sciences,,rowan-virtua school of translational biomedical engineering and sciences,,,unmapped,,[]
rowland institute at harvard  harvard university,,rowland institute at harvard  harvard university,,,unmapped,,[]
rti international,,rti international,,,unmapped,,[]
rutgers  the state university of new jersey,,rutgers  the state university of new jersey,,,suggested,,"[('utah state university', 0.625), ('the university of manchester', 0.6197183098591549), ('the university of maine', 0.6060606060606061)]"
rutgers  the state university of new jersey- new brunswick,,rutgers  the state university of new jersey- new brunswick,,,unmapped,,[]
rutgers  the state university of nj,,rutgers  the state university of nj,,,suggested,,"[('utah state university', 0.7142857142857143), ('kent state university', 0.6428571428571429), ('the ohio state university', 0.6666666666666666), ('boise state university', 0.6666666666666666), ('the university of maine', 0.6551724137931034)]"
rutgers university,,rutgers university,,,suggested,,"[('ege university', 0.8125), ('queens university', 0.8), ('aarhus university', 0.8), ('southwest university', 0.7894736842105263), ('duke university', 0.7878787878787878)]"
s p college,,s p college,,,suggested,,"[('augsburg college', 0.6666666666666666)]"
sabic specialties,,sabic specialties,,,unmapped,,[]
sachem inc,,sachem inc,,,unmapped,,[]
saint louis university,,saint louis university,,,suggested,,"[('yantai university', 0.6666666666666666), ('dalhousie university', 0.7619047619047619), ('tsinghua university', 0.7317073170731707), ('tohoku university', 0.717948717948718), ('kuwait university', 0.717948717948718)]"
saint louis university main campus - parks college of engineering  aviation and technology,,saint louis university main campus - parks college of engineering  aviation and technology,,,unmapped,,[]
salvador garcia munoz eli lilly and company,,salvador garcia munoz eli lilly and company,,,suggested,,"[('eli lilly and company', 0.65625)]"
samsung advanced institute of technology,,samsung advanced institute of technology,,,suggested,,"[('karlsruhe institute of technology', 0.7397260273972602), ('siddaganga institute of technology', 0.7837837837837838), ('korea advanced institute of science and technology', 0.7555555555555555), ('harbin institute of technology', 0.7428571428571429), ('indian institute of technology ropar', 0.7368421052631579)]"
samsung electronics,,samsung electronics,,,unmapped,,[]
sandia national labs,,sandia national labs,,,suggested,,"[('sandia national laboratories', 0.8333333333333334), ('national lab', 0.75), ('idaho national laboratory', 0.6222222222222222), ('los alamos national laboratory', 0.64), ('argonne national laboratory', 0.6382978723404256)]"
sandp global,,sandp global,,,unmapped,,[]
sanofi us services inc,,sanofi us services inc,,,unmapped,,[]
sao paulo state university,,sao paulo state university,,,suggested,,"[('iowa state university', 0.7659574468085106), ('arizona state university', 0.8), ('south ural state university', 0.7547169811320755), ('oklahoma state university', 0.7843137254901961), ('colorado state university', 0.7450980392156863)]"
sapienza university of rome,,sapienza university of rome,,,suggested,,"[('china university of petroleum', 0.75), ('university of bremen', 0.723404255319149), ('the university of maine', 0.72), ('the university of akron', 0.72), ('soka university of america', 0.7169811320754716)]"
sarepta therapeutics,,sarepta therapeutics,,,unmapped,,[]
sartorius,,sartorius,,,unmapped,,[]
sartorius stedim fmt s a s,,sartorius stedim fmt s a s,,,unmapped,,[]
sartorius stedim north america,,sartorius stedim north america,,,unmapped,,[]
sartorius stedim north america inc,,sartorius stedim north america inc,,,unmapped,,[]
saudi aramco oil company,,saudi aramco oil company,,,suggested,,"[('saudi aramco', 0.6666666666666666), ('kuwait oil company', 0.6666666666666666), ('hyundai motor company', 0.5333333333333333)]"
savannah river nuclear solutions,,savannah river nuclear solutions,,,suggested,,"[('savannah river national laboratory', 0.6363636363636364)]"
schepens eye research institute of mass  eye and ear,,schepens eye research institute of mass  eye and ear,,,unmapped,,[]
schlumberger  genvia,,schlumberger  genvia,,,unmapped,,[]
schlumberger-doll research,,schlumberger-doll research,,,suggested,,"[('chevron research', 0.6666666666666666)]"
school for engineering of matter  transport  and energy  arizona state university,,school for engineering of matter  transport  and energy  arizona state university,,,unmapped,,[]
school of chemical and biomolecular engineering,,school of chemical and biomolecular engineering,,,unmapped,,[]
school of chemical and biomolecular engineering  georgia institute of technology,,school of chemical and biomolecular engineering  georgia institute of technology,,,unmapped,,[]
school of chemical engineering  dalian university of technology,,school of chemical engineering  dalian university of technology,,,suggested,,"[('south china university of technology', 0.6666666666666666), ('dalian university of technology', 0.6595744680851063), ('eindhoven university of technology', 0.5979381443298969), ('clausthal university of technology', 0.5979381443298969), ('amirkabir university of technology', 0.6185567010309279)]"
school of chemistry  chemical engineering and biotechnology  nanyang technological university,,school of chemistry  chemical engineering and biotechnology  nanyang technological university,,,unmapped,,[]
school of engineering  university of edinburgh,,school of engineering  university of edinburgh,,,unmapped,,[]
schrödinger  inc,,schrödinger  inc,,,suggested,,"[('schrödinger', 0.8148148148148148)]"
science history institute,,science history institute,,,unmapped,,[]
serán bioscience,,serán bioscience,,,unmapped,,[]
seven lakes high school,,seven lakes high school,,,unmapped,,[]
shanghaitech university,,shanghaitech university,,,suggested,,"[('louisiana tech university', 0.7916666666666666), ('tunghai university', 0.7804878048780488), ('tsinghua university', 0.7619047619047619), ('yantai university', 0.75), ('hongik university', 0.75)]"
shaoguan university,,shaoguan university,,,suggested,,"[('hampton university', 0.8108108108108109), ('rowan university', 0.8), ('nihon university', 0.8), ('chang gung university', 0.8), ('tsinghua university', 0.7894736842105263)]"
sheffield university,,sheffield university,,,suggested,,"[('shenzhen university', 0.7692307692307693), ('ege university', 0.7647058823529411), ('ohio university', 0.7428571428571429), ('lund university', 0.7428571428571429), ('shiv nadar university', 0.7317073170731707)]"
shell global solutions,,shell global solutions,,,suggested,,"[('synt solutions', 0.6111111111111112)]"
shell global solutions international b v,,shell global solutions international b v,,,unmapped,,[]
shell global solutions international bv,,shell global solutions international bv,,,unmapped,,[]
shell india market private limited,,shell india market private limited,,,unmapped,,[]
shell india markets private limited,,shell india markets private limited,,,unmapped,,[]
shell internatinal eandp,,shell internatinal eandp,,,unmapped,,[]
shell international eandp,,shell international eandp,,,unmapped,,[]
shell international exploration and production,,shell international exploration and production,,,unmapped,,[]
shell international exploration and production  inc,,shell international exploration and production  inc,,,unmapped,,[]
shell international exploration and production inc,,shell international exploration and production inc,,,unmapped,,[]
shell technical center bangalore,,shell technical center bangalore,,,suggested,,"[('shell technology center', 0.6909090909090909)]"
siemens digital industries software,,siemens digital industries software,,,unmapped,,[]
siemens industry software inc,,siemens industry software inc,,,unmapped,,[]
siemens industry software limited,,siemens industry software limited,,,unmapped,,[]
siemens process systems engineering,,siemens process systems engineering,,,unmapped,,[]
siemens process systems enterprise ltd,,siemens process systems enterprise ltd,,,unmapped,,[]
siemens pse,,siemens pse,,,suggested,,"[('siemens', 0.7777777777777778)]"
simons foundation,,simons foundation,,,suggested,,"[('national science foundation', 0.6818181818181818)]"
singapore university of technology and design,,singapore university of technology and design,,,suggested,,"[('eindhoven university of technology', 0.7341772151898734), ('graz university of technology', 0.7297297297297297), ('national university of technology', 0.717948717948718), ('south china university of technology', 0.7160493827160493), ('warsaw university of technology', 0.7105263157894737)]"
singapore-mit alliance for research and technology,,singapore-mit alliance for research and technology,,,suggested,,"[('national institute of standards and technology', 0.5)]"
singapore-mit alliance for research and technology  centre,,singapore-mit alliance for research and technology  centre,,,unmapped,,[]
sinopec research institute of petroleum processing,,sinopec research institute of petroleum processing,,,unmapped,,[]
sinopec shanghai research institute of petrochemical technology,,sinopec shanghai research institute of petrochemical technology,,,suggested,,"[('korea institute of industrial technology', 0.6601941747572816), ('technion israel institute of technology', 0.5882352941176471), ('institute of chemical technology mumbai', 0.6274509803921569), ('korea institute of energy technology', 0.6262626262626263), ('siddaganga institute of technology', 0.6185567010309279)]"
sintef,,sintef,,,suggested,,"[('sinopec', 0.6153846153846154)]"
sintef energy research,,sintef energy research,,,unmapped,,[]
sintef industry,,sintef industry,,,unmapped,,[]
sivananthan laboratories  inc,,sivananthan laboratories  inc,,,suggested,,"[('sandia national laboratories', 0.7017543859649122)]"
sivananthan laboratories inc,,sivananthan laboratories inc,,,suggested,,"[('sandia national laboratories', 0.7142857142857143), ('idaho national laboratory', 0.6037735849056604)]"
