label,A_sep,A_uniq,B_authors,C_abstracts
cnrs  université de pau et des pays de l adour umr 5254  institut des sciences analytiques et de physico-chimie pour l environnement et les matériaux,0,0,1,1
cnrs create,0,0,1,1
complutense university of madrid,0,0,1,1
coolbrook oy,0,0,1,1
corresponding authors,0,0,1,1
cotierra ag,0,0,1,1
covai corporation,0,0,1,1
crysalis biosciences  inc,0,0,1,1
crystalgrower,0,0,1,1
csir - central salt and marine chemicals research institute,0,0,1,1
csir-indian institute of petroleum,0,0,1,1
cuny advanced science research center,0,0,1,1
curtin university  malaysis,0,0,1,1
d  e  shaw research,0,0,1,1
dana-farber cancer institute,0,0,1,1
dave c  swalm school of chemical engineering  mississippi state university,0,0,1,1
deep origin,0,0,1,1
defense center for public health - dayton,0,0,1,1
department of art  faculty of science and new technologies  islamic azad university e-campus,0,0,1,1
department of biological engineering,0,0,1,1
department of chemical and biomolecular engineering,0,0,1,1
department of chemical and environmental process engineering  faculty of chemical technology and biotechnology  budapest university of technology and economics,0,0,1,1
department of chemical engineering  ku leuven  celestijnenlaan 200f  leuven  belgium,0,0,1,1
department of chemistry  abdul wali khan university  mardan  khyber pakhtunkhwa  23200  pakistan,0,0,1,1
department of chemistry  north carolina state university  raleigh  nc 27695  usa,0,0,1,1
department of chemistry and earth sciences  college of arts and sciences  qatar university,0,0,1,1
department of civil and environmental engineering  university of wisconsin-madison,0,0,1,1
department of energy netl,0,0,1,1
department of environment  alborz campus  university of tehran,0,0,1,1
department of gastroenterology and hepatology  mayo clinic  scottsdale,0,0,1,1
department of industrial and computer engineering and economics  university of l aquila,0,0,1,1
department of internal medicine  university of michigan,0,0,1,1
department of mechanical engineering  university of michigan,0,0,1,1
department of microbiology  new york university grossman school of medicine  new york  new york  10016  usa,0,0,1,1
department of radiation oncology  new york university grossman school of medicine  new york  new york  10016  usa,0,0,1,1
department of science  technology and society  university school for advanced studies iuss pavia  pavia  italy,0,0,1,1
division of pediatric infectious diseases  ucsf,0,0,1,1
doe center for advanced bioenergy and bioproducts innovation,0,0,1,1
doe center for advanced bioenergy and bioproducts innovation  university of illinois at urbana-champaign,0,0,1,1
doe center for advanced bioenergy and bioproducts innovation  university of illinois urbana-champaign,0,0,1,1
doe joint genome institute,0,0,1,1
dsm-firmenich science and research,0,0,1,1
dtu,0,0,1,1
east carolina university,0,0,1,1
eco carbon,0,0,1,1
ecodynamics group  department of physical sciences  earth and environment  university of siena  italy,0,0,1,1
eli lilly services india pvt  ltd,0,0,1,1
emmanuel college  university of cambridge,0,0,1,1
en-ramps llc,0,0,1,1
ensic - école nationale supérieure des industries chimiques,0,0,1,1
environmental division,0,0,1,1
eskisehir osmangazi university,0,0,1,1
espci paris  cnrs  psl university,0,0,1,1
etech ethanol engineering and technology,0,0,1,1
evon GmbH,0,0,1,1
exxonmobil research and engineering company,0,0,1,1
exxonmobil research qatar,0,0,1,1
facilis ai,0,0,1,1
facultad de ingeniería química  universidad nacional del litoral,0,0,1,1
faculty of pharmacy of the university of lisbon,0,0,1,1
florida aandm university-florida state university,0,0,1,1
florida aandm university-florida state university college of engineering,0,0,1,1
fondazione istituto di ricerca città della speranza,0,0,1,1
forest concepts,0,0,1,1
fortum waste solutions oy,0,0,1,1
fracture systems ltd,0,0,1,1
friedrich schiller university,0,0,1,1
fuels  engines and emissions research center  oak ridge national laboratory,0,0,1,1
geocircular consulting group,0,0,1,1
georgia institute of technology and emory university,0,0,1,1
georgia institute of technology college of engineering,0,0,1,1
georgia tech and emory university,0,0,1,1
georgia tech university,0,0,1,1
gharda institute of technology lavel,0,0,1,1
greenpack technologies,0,0,1,1
gs engineering and construction corp,0,0,1,1
gsk glaxo wellcome manufacturing pte ltd  1 pioneer  sector 1  singapore,0,0,1,1
gsk medicines research centre,0,0,1,1
gsk randd,0,0,1,1
guild associates,0,0,1,1
gurobi optimization,0,0,1,1
h quest vanguard  inc,0,0,1,1
haleon plc,0,0,1,1
hamad bin khalifa university,0,0,1,1
hamad bin khalifa university  qatar foundation,0,0,1,1
harvard medical school - massachusetts general hospital,0,0,1,1
hbku core labs  hamad bin khalifa university,0,0,1,1
health research institute,0,0,1,1
helical energy,0,0,1,1
ho chi minh city university of industry and trade,0,0,1,1
honeywell,0,0,1,1
honeywell connected enterprise,0,0,1,1
honeywell fmandt,0,0,1,1
hovione farmaciencia sa,0,0,1,1
howard hughes medical institute,0,0,1,1
ifce,0,0,1,1
ifpen,0,0,1,1
iit guwahati,0,0,1,1
iitm,0,0,1,1
imed ulisboa  faculty of pharmacy  university of lisbon,0,0,1,1
independent researcher,0,0,1,1
indian institute of science education and research  bhopal,0,0,1,1
institut des matériaux poreux de paris  ecole normale supérieure de paris  espci paris  cnrs  psl university,0,0,1,1
institut des matériaux poreux de paris  espci paris  ecole normale supérieure  cnrs  psl university  75005,0,0,1,1
institute for a sustainable hydrogen economy   forschungszentrum jülich,0,0,1,1
institute for energy and materials  universidad san francisco de quito usfq,0,0,1,1
institute for lasers  photonics and biophotonics  university at buffalo,0,0,1,1
institute for regenerative medicine  wake forest school of medicine,0,0,1,1
institute for sustainable materials and manufacturing,0,0,1,1
institute of applied biosciences  centre for research and technology hellas  thessaloniki  greece,0,0,1,1
institute of automation and control  tu graz,0,0,1,1
institute of chemical process systems engineering  school of chemical engineering,0,0,1,1
institute of macromolecular compounds of the russian academy of sciences,0,0,1,1
institute of technical and macromolecular chemistry   rwth aachen university,0,0,1,1
instituto de ciencias aplicadas y tecnología,0,0,1,1
instituto de investigaciones biomédicas  unam,0,0,1,1
instituto de química de são carlos universidade de são paulo,0,0,1,1
instituto de tecnología química  universitat politècnica de valència-consejo superior de investigaciones científicas,0,0,1,1
instituto politecnico nacional,0,0,1,1
instituto politecnico nacional-esiqie,0,0,1,1
international maritime college oman  curtin uni,0,0,1,1
iran university of medical science,0,0,1,1
isis neutron and muon source,0,0,1,1
it power australia,0,0,1,1
itq,0,0,1,1
john house consulting services,0,0,1,1
johns hopkins applied physics laboratory,0,0,1,1
johns hopkins university applied physics laboratory,0,0,1,1
joint bioenergy institute  emeryville  ca 94608 and sandia national laboratories  livermore  ca,0,0,1,1
joint center for energy storage research,0,0,1,1
joint school of nanoscience and nanoengineering  nc aandt state university,0,0,1,1
kanagawa academy of science and technology,0,0,1,1
kbr inc,0,0,1,1
kenexis,0,0,1,1
key laboratory of functional inorganic materials chemistry   ministry of education  school of chemistry and materials science  international joint research center and lab for catalytic technology  harbin 150080  pr china,0,0,1,1
king s college london,0,0,1,1
king saud bin abdulaziz university for health sciences  and king abdullah international medical research center  ministry of national guard health affairs,0,0,1,1
kinga abdullah university of science and technology,0,0,1,1
kookmin university,0,0,1,1
kpv lab edinburgh ltd,0,0,1,1
kyung hee university,0,0,1,1
laboratory for chemical technology,0,0,1,1
laboratory for chemical technology  ghent university,0,0,1,1
lam research corporation,0,0,1,1
lamar university university of louisville,0,0,1,1
lawrence livermore national lab,0,0,1,1
leibniz institute of polymer research and tu dresden,0,0,1,1
leidos inc,0,0,1,1
leidos research support team - us doe netl,0,0,1,1
lewis-sigler institute for integrative genomics,0,0,1,1
liangzhu laboratory  zhejiang university,0,0,1,1
liquid sunlight alliance,0,0,1,1
long beach city college,0,0,1,1
loyola university chicago,0,0,1,1
lparadis lbl gov,0,0,1,1
lysis consulting p c,0,0,1,1
macdiarmid institute for advanced materials and nanotechnology,0,0,1,1
malaysia-japan international institute of technology  universiti teknologi malaysia,0,0,1,1
mantisonix ltd,0,0,1,1
massachusetts institue of technology,0,0,1,1
materials science and engineering  georgia institute of technology,0,0,1,1
matmerize,0,0,1,1
max planck institute for dynamics of complex technical systems  process systems engineering,0,0,1,1
max-planck-institut fur dynamik komplexer technischer systeme,0,0,1,1
mcketta department of chemical engineering  the university of texas at austin,0,0,1,1
microinnova engineering gmbh,0,0,1,1
middle east technical university,0,0,1,1
military university nueva granada,0,0,1,1
mit department of mechanical engineering,0,0,1,1
mondelez international,0,0,1,1
mork family department of chemical engineering and materials science  university of southern california  los angeles  ca,0,0,1,1
msu,0,0,1,1
naieel technology,0,0,1,1
nanoparticle systems engineering laboratory  institute of energy and process engineering  department of mechanical and process engineering  eth zurich,0,0,1,1
national academies,0,0,1,1
national institute for communicable diseases,0,0,1,1
national institute of chemistry,0,0,1,1
national institute of standards and technology  brookhaven national laboratory,0,0,1,1
national university of colombia or purdue university,0,0,1,1
ndiana university bloomington,0,0,1,1
nemours alfred i  dupont hospital for children,0,0,1,1
nestlé product technology centre,0,0,1,1
new jersey center for microchemical systems  stevens institute of technology,0,0,1,1
new york university langone health,0,0,1,1
nist center for neutron research  national institute of standards and technology,0,0,1,1
noritake co limited,0,0,1,1
north carolina state university  chemical and biomolecular engineering department,0,0,1,1
nottingham trent university,0,0,1,1
nov chemineer,0,0,1,1
nsf s chemmatcars  university of chicago,0,0,1,1
ntnu,0,0,1,1
oak ridge associated universities  us environmental protection agency,0,0,1,1
otto von guericke university magdeburg,0,0,1,1
ourobio,0,0,1,1
pacific biolab,0,0,1,1
pct ebeam and integration  llc,0,0,1,1
phytochem product inc,0,0,1,1
pjp tech,0,0,1,1
planta piloto de ingeniería química  plapiqui   universidad nacional del sur,0,0,1,1
plug power,0,0,1,1
polytechnic institute of bragança,0,0,1,1
port sunlight laboratory,0,0,1,1
powercell,0,0,1,1
probiomed s a  de c v,0,0,1,1
procter and gamble technical centre,0,0,1,1
pvamu,0,0,1,1
qingyuan innovation laboratory,0,0,1,1
queenmary university of london,0,0,1,1
r e  mason,0,0,1,1
rapid city christian school,0,0,1,1
redoxblox,0,0,1,1
reelement technologies llc,0,0,1,1
research and innovation center on co2 and hydrogen   chemical and petroleum engineering department  khalifa university  abu dhabi  united arab emirates,0,0,1,1
research center for gas innovation,0,0,1,1
rhode island school of design,0,0,1,1
saint louis university,0,0,1,1
sandia national labs,0,0,1,1
sanofi us services inc,0,0,1,1
sao paulo state university,0,0,1,1
savannah river nuclear solutions,0,0,1,1
schlumberger-doll research,0,0,1,1
school of engineering  university of edinburgh,0,0,1,1
seven lakes high school,0,0,1,1
sheffield university,0,0,1,1
shell india markets private limited,0,0,1,1
shell internatinal eandp,0,0,1,1
siemens industry software limited,0,0,1,1
siemens process systems enterprise ltd,0,0,1,1
sintef,0,0,1,1
sivananthan laboratories  inc,0,0,1,1
sivananthan laboratories inc,0,0,1,1
soluciones energéticas y de automatización s a s,0,0,1,1
srnl,0,0,1,1
stealth mode startup,0,0,1,1
strategic energy analysis center  national renewable energy laboratory,0,0,1,1
sulzer pump solutions ireland ltd,0,0,1,1
susteon inc,0,0,1,1
swiss federal institute of materials and technology  empa,0,0,1,1
syensqo,0,0,1,1
tcs research  trddc  tata consultancy services,0,0,1,1
technische universitat dresden,0,0,1,1
technology innovation institute,0,0,1,1
tecnologico na campus aguascalientescional de mexico,0,0,1,1
teich process development llc,0,0,1,1
tellus,0,0,1,1
terra teaching and research centre  biosystems dynamics and exchanges  gembloux agro-bio tech- université de liège  gembloux  belgium,0,0,1,1
texas aandm energy institute,0,0,1,1
texas tech university health sciences center,0,0,1,1
texas transportation institute,0,0,1,1
the city college of new york cuny,0,0,1,1
the joint bioenergy institute,0,0,1,1
the university of north carolina at charlotte,0,0,1,1
the university of tennessee knoxville,0,0,1,1
tip,0,0,1,1
total s e,0,0,1,1
towson university,0,0,1,1
toyo koatsu co  ltd,0,0,1,1
toyota motor europe,0,0,1,1
u  chicago,0,0,1,1
u s  army devcom soldier center,0,0,1,1
u s  army research laboratory,0,0,1,1
u s  doe agile biofoundry,0,0,1,1
u s  doe ames laboratory,0,0,1,1
ues  inc,0,0,1,1
ufc - universidade federal do ceara,0,0,1,1
uga,0,0,1,1
uiuc,0,0,1,1
ukurhuleni water care company,0,0,1,1
umass,0,0,1,1
umass lowell,0,0,1,1
univeristy of cape town,0,0,1,1
universidad autonoma de mexico,0,0,1,1
universidad autónoma metropolitana -iztapalapa,0,0,1,1
universidad de chile,0,0,1,1
universidad de ingeniería y tecnología,0,0,1,1
universidad nacional de ingenieria,0,0,1,1
universidade estadual do maranhao,0,0,1,1
universite de pau et des pays de l adour  latep,0,0,1,1
universiti teknologi petronas,0,0,1,1
university college hospital,0,0,1,1
university college of london,0,0,1,1
university hospital cologne,0,0,1,1
university of alberta  edmonton  canada,0,0,1,1
university of california  riverside and center for environmental research and technology,0,0,1,1
university of california technical institute,0,0,1,1
university of capet town,0,0,1,1
university of colorado anschutz medical campus,0,0,1,1
university of colorado denver anschutz medical campus,0,0,1,1
university of east london,0,0,1,1
university of hohenheim,0,0,1,1
university of illinois laboratory high school,0,0,1,1
university of kentucky accelerator laboratory,0,0,1,1
university of kwazulu-natal,0,0,1,1
university of lisbon,0,0,1,1
university of maryland-baltimore county,0,0,1,1
university of nebraska medical center,0,0,1,1
university of nebraska-lincoln  lincoln,0,0,1,1
university of nebraska-lincoln  ne  usa,0,0,1,1
university of north carolina at chapel hill and north carolina state university,0,0,1,1
university of north carolina at greensboro,0,0,1,1
university of north carolina charlotte,0,0,1,1
university of oklahoma health sciences center,0,0,1,1
university of pittsburgh school of medicine,0,0,1,1
university of puerto rico rio piedras campus,0,0,1,1
university of sayyed jamaleddin asadabadi,0,0,1,1
university of tennessee institute of agriculture,0,0,1,1
university of texas at san antonio  usa,0,0,1,1
university of the western cape,0,0,1,1
université côte d azur,0,0,1,1
us army combat capabilities development command chemical biological center,0,0,1,1
us army devcom soldier center,0,0,1,1
us army engineer research and development center  environmental laboratory  vicksburg  ms 39180  united states,0,0,1,1
us doe netl,0,0,1,1
usra research institute for advanced computer science,0,0,1,1
va ann arbor health system,0,0,1,1
vale,0,0,1,1
verdetek,0,0,1,1
vertex pharmaceuticals inc,0,0,1,1
vito,0,0,1,1
vlp therapeutics,0,0,1,1
w  l  gore and associates  inc,0,0,1,1
w l  gore and associates  inc,0,0,1,1
wadsworth center  new york state dept health,0,0,1,1
weill cornell medical college,0,0,1,1
weldon school of biomedical engineering  purdue university,0,0,1,1
whitehead institute for biomedical research,0,0,1,1
worfolk consulting,0,0,1,1
xi an jiaotong uni,0,0,1,1
xprize,0,0,1,1
yuhan corp,0,0,1,1
zju-hangzhou global scientific and technological innovation center,0,0,1,1
zoetis,0,0,1,1
École Polytechnique,0,0,1,1
Brunel University London,0,0,1,0
Government of the United Kingdom,0,0,1,0
Masaryk University,0,0,1,0
Ministry of Development,0,0,1,0
bionanonet,0,0,1,0
cascade designs inc,0,0,1,0
european environmental agency,0,0,1,0
national institute of safety and health at work,0,0,1,0
